The B-Team
The Underachievers
Baby Boomers
College Dropouts
Low Expectations
Bottom of the Barrel
The Weakest Links
Inferiority Complex
Something Inoffensive
Epic Failures
Village Idiots
Second Place
The Expansion Pack
Civil Disobedience
Fire Extinguishers
Gold Diggers
One-Hit Wonders
The Oversleepers
Troublemakers
Prodigies
Virtuosos
The Heat Wave
Collision Course
Exterminators
Fire Starters
Kryptonite
No Mercy
Power House
Trailblazers
The Shakedown
Wolf Pack
Lethal Weapons
Outlaws
Horsemen
Spark Plugs
Your Worst Nightmare
Live Wire
Incognito Mode
The Chosen Ones
Deadly Exclusives
Untouchables
Superlatives
Lemon Drops
Brute Force
Spiked Punch
Illusion of Greatness
Heart Warmers
High Fliers
Hurt Lockers
Grass Stains
Atomic Bombs
Shock Cavalry
Warfare
Greek Fire
Menaces
Carbon Monoxide
Food Poisoning
Mercury
Revolters
Renegades
Agitators
Bandits
Antiheroes
Rapscallions
Contagion
Hazards
Dynamos
Meteors
Stingrays
Hammerheads
Patriots
Rattlesnakes
Black Mambas
Great Whites
Crocodiles
Poison
Scorpions
Grizzlies
Dynamite
Trouble
Vipers
Poison Ivy
Devils
Cyanide
The Benchwarmers
Aces
Back Alleys
Bang-Bang Players
Comebackers
Frozen Rope Climbers
Hot Corners
Moon Shooters
Dirt Devils
Sluggers
No-Hitters
In A Pickle
Three Baggers
Worm Burners
Vampire Bats
Hot Shots
Slam Dunks
Basketcases
Ball Hogs
Globetrotters
Travelers
Basket Hounds
Rebounders
Alley Oops
Three-Pointers
Defenders
Nothing But Net
Bricklayers
Flyers
Crossovers
Hoop Dreams
Football Heads
Razorbacks
Bandits
Boilermakers
Cowboys
Leatherheads
The Interference
Punters
Hail Marys
The Game Plan
Goal Posters
The Blitz
Gridirons
The Pig Skin
The Rush
Split Enders
Rush Hour
Punters
Trappers
Yellow Cards
Woodworkers
Clean Sheets
Hat Tricks
Booters
Class Acts
The Fortress
Howlers
Minnows
Row Z
Screamers
Tiki-takas
Worldies
Strikers
Turkeys
King Pins
Bowler Coaster
Boomers
Sleepers
Deuces
Lucky Strike
Baggers
Heads in the Gutter
Bed Posts
Drifters
Ballbarians
Finger Grips
No Spares
The Sugar Bowl
Iconoclasts
Nihilists
Antagonists
Whiz Kids
The Geek Squad
Net Surfers
The Informants
Black Hat Hackers
Brainiacs
Quizzical Education
Phone a Friend
Witches and Quizards
The Quizzy Bees
Wallflowers
Smart Simpson
Cheat Sheet
Brainstormers
Funny Girl Team Names
Rebel Girls
Honey Badgers
Queen Bees
Bloody Marys
Hot Flashes
No Boys Allowed
Cosmopolitans
Pretty in Pink
Witchy Women
Girls to the Front
Boss Babes
Resting Bitch Faces
Galentines
Duchesses
The Plastics
Funny Boy Team Names
Minutemen
Sultans
Wizards
Worker Bees
X-Men
Jumping Jacks
Kings
Amigos
Statesmen
Vikings
Daredevils
Ichabods
Mountaineers
Mustangs
Big Bros
Beaneaters
Hot Pockets
Cereal Killers
Crunchwrap Supremes
Popcorn Kernels
Spuds
Chips and Dip
The Chalupas
Cupcakes
Boozy Brunch
The Sloppy Joes
Couch Potatoes
Fudge Buddies
Tea Spillers
Silver Spooners
Pretzel Twists
WarHeads
Oreoles
The Mighty Ducks
The Brady Bunch
Watchmen
The Avengers
Ghostbusters
Team Zissou
The Expendables
The Electabuzz
Little Women
The Fellowship
O-Town Zeros
Wonderdogs
Channel 4 News Team
The Goon Squad
The Tune Squad
Booboooos
The pain Killers
Generators
Winers
Wanbulance
Bayou
Heros
